[03-22-2016 19:09:54.510] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[03-22-2016 19:09:54.528] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[03-22-2016 19:09:54.537] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(125) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[03-22-2016 19:09:54.538] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(108) - Query to be executed: "show databases;"
[03-22-2016 19:09:54.539] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(140) - Attempting to disconnect from the database
[03-22-2016 19:09:54.539] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(142) - Disconnected from the database
[03-22-2016 19:10:13.781] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(42) - Initializing SQLPlus
[03-22-2016 19:10:13.885] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(93) - Create SQLPlusConnection
[03-22-2016 19:10:16.262] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(186) - User entered host:
[03-22-2016 19:10:17.229] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(202) - User entered database:
[03-22-2016 19:10:18.525] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(210) - Port entered: 
[03-22-2016 19:10:18.525] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(211) - Port string length: 0
[03-22-2016 19:10:18.525] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(229) - User entered port:
[03-22-2016 19:10:21.205] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(244) - User entered username:root
[03-22-2016 19:10:28.125] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(146) - The user wants to quit SQLPlus
[03-22-2016 19:10:28.131] [main] INFO  com.mijecu25.sqlplus.SQLPlus.exitSQLPlus(336) - Quitting SQLPlus
[03-22-2016 19:13:16.056] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[03-22-2016 19:13:16.056] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
[03-22-2016 19:13:16.057] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[03-22-2016 19:13:16.057] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[03-22-2016 19:13:16.057] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[03-22-2016 19:13:16.072] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[03-22-2016 19:13:16.478] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[03-22-2016 19:13:16.480] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(108) - Query to be executed: "show databases;"
[03-22-2016 19:13:16.483] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(140) - Attempting to disconnect from the database
[03-22-2016 19:13:16.485] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(142) - Disconnected from the database
[03-22-2016 19:13:16.487] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[03-22-2016 19:13:16.487] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
