[04-27-2016 08:50:32.312] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[04-27-2016 08:50:32.317] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(48) - Instantiating the credentials that will be used to connect to a mysql database
[04-27-2016 08:50:32.317] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-27-2016 08:50:32.317] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-27-2016 08:50:32.317] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(72) - Adding the connection properties to connect to a mysql database
[04-27-2016 08:50:32.333] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(84) - Attempting to connect to the database
[04-27-2016 08:50:32.745] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-27-2016 08:50:32.746] [main] INFO  com.mijecu25.sqlplus.compiler.core.statement.Statement.<init>(33) - Created a Statement with a connection and statement
[04-27-2016 08:50:32.747] [main] INFO  com.mijecu25.sqlplus.compiler.core.statement.Statement.<init>(61) - Created a Statement with a statement
[04-27-2016 08:50:32.747] [main] INFO  com.mijecu25.sqlplus.compiler.core.statement.StatementShowDatabases.<init>(30) - Parsed and created a ShowDatabasesStatement
[04-27-2016 08:50:32.747] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(105) - Query to be executed: "ShowDatabasesStatement [statement=show databases]"
[04-27-2016 08:50:32.747] [main] INFO  com.mijecu25.sqlplus.compiler.core.statement.StatementShowDatabases.execute(36) - Will execute the code to show the databases
[04-27-2016 08:50:32.752] [main] INFO  com.mijecu25.sqlplus.compiler.core.statement.StatementShowDatabases.printResult(49) - Printing the labels of the columns in the result
[04-27-2016 08:50:32.759] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(216) - Attempting to disconnect from the database
[04-27-2016 08:50:32.760] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(218) - Disconnected from the database
[04-27-2016 08:50:32.762] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[04-27-2016 08:50:32.762] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(48) - Instantiating the credentials that will be used to connect to a mysql database
[04-27-2016 08:50:32.762] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-27-2016 08:50:32.762] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-27-2016 08:50:32.762] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(72) - Adding the connection properties to connect to a mysql database
[04-27-2016 08:50:32.797] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(84) - Attempting to connect to the database
[04-27-2016 08:50:32.806] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-27-2016 08:50:32.807] [main] WARN  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(162) - There is not an SQLPlusMySQLConnection
[04-27-2016 08:50:32.807] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(169) - Returning a SQLPlusMySQLConnection instance null
[04-27-2016 08:50:32.807] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(142) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost
[04-27-2016 08:50:32.807] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(48) - Instantiating the credentials that will be used to connect to a mysql database
[04-27-2016 08:50:32.807] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-27-2016 08:50:32.808] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-27-2016 08:50:32.808] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(72) - Adding the connection properties to connect to a mysql database
[04-27-2016 08:50:32.844] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(84) - Attempting to connect to the database
[04-27-2016 08:50:32.856] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(149) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-27-2016 08:50:32.856] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[04-27-2016 08:50:32.856] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(48) - Instantiating the credentials that will be used to connect to a mysql database
[04-27-2016 08:50:32.856] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-27-2016 08:50:32.856] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-27-2016 08:50:32.857] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(72) - Adding the connection properties to connect to a mysql database
[04-27-2016 08:50:32.888] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(84) - Attempting to connect to the database
[04-27-2016 08:50:32.896] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-27-2016 08:50:32.897] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(118) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost port:3306
[04-27-2016 08:50:32.897] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(48) - Instantiating the credentials that will be used to connect to a mysql database
[04-27-2016 08:50:32.897] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-27-2016 08:50:32.897] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-27-2016 08:50:32.897] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(72) - Adding the connection properties to connect to a mysql database
[04-27-2016 08:50:32.915] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(84) - Attempting to connect to the database
[04-27-2016 08:50:32.922] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(125) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-27-2016 08:50:32.922] [main] INFO  com.mijecu25.sqlplus.compiler.core.statement.Statement.<init>(33) - Created a Statement with a connection and statement
[04-27-2016 08:50:32.923] [main] INFO  com.mijecu25.sqlplus.compiler.core.statement.Statement.<init>(61) - Created a Statement with a statement
[04-27-2016 08:50:32.923] [main] INFO  com.mijecu25.sqlplus.compiler.core.statement.StatementShowDatabases.<init>(30) - Parsed and created a ShowDatabasesStatement
[04-27-2016 08:50:32.923] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(105) - Query to be executed: "ShowDatabasesStatement [statement=show databases]"
[04-27-2016 08:50:32.923] [main] INFO  com.mijecu25.sqlplus.compiler.core.statement.StatementShowDatabases.execute(36) - Will execute the code to show the databases
[04-27-2016 08:50:32.924] [main] INFO  com.mijecu25.sqlplus.compiler.core.statement.StatementShowDatabases.printResult(49) - Printing the labels of the columns in the result
[04-27-2016 08:50:32.926] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(216) - Attempting to disconnect from the database
[04-27-2016 08:50:32.927] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(218) - Disconnected from the database
