[04-02-2016 16:05:50.755] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[04-02-2016 16:05:50.760] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
[04-02-2016 16:05:50.760] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-02-2016 16:05:50.760] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-02-2016 16:05:50.760] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[04-02-2016 16:05:50.776] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[04-02-2016 16:05:51.201] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-02-2016 16:05:51.203] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(108) - Query to be executed: "show databases;"
[04-02-2016 16:05:51.208] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(140) - Attempting to disconnect from the database
[04-02-2016 16:05:51.210] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(142) - Disconnected from the database
[04-02-2016 16:05:51.212] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[04-02-2016 16:05:51.212] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
[04-02-2016 16:05:51.212] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-02-2016 16:05:51.212] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-02-2016 16:05:51.212] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[04-02-2016 16:05:51.244] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[04-02-2016 16:05:51.253] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-02-2016 16:05:51.254] [main] WARN  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(162) - There is not an SQLPlusMySQLConnection
[04-02-2016 16:05:51.254] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(169) - Returning a SQLPlusMySQLConnection instance null
[04-02-2016 16:05:51.254] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(142) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost
[04-02-2016 16:05:51.254] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
[04-02-2016 16:05:51.254] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-02-2016 16:05:51.255] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-02-2016 16:05:51.255] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[04-02-2016 16:05:51.289] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[04-02-2016 16:05:51.301] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(149) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-02-2016 16:05:51.302] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[04-02-2016 16:05:51.302] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
[04-02-2016 16:05:51.302] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-02-2016 16:05:51.302] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-02-2016 16:05:51.302] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[04-02-2016 16:05:51.331] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[04-02-2016 16:05:51.340] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-02-2016 16:05:51.341] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(118) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost port:3306
[04-02-2016 16:05:51.341] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
[04-02-2016 16:05:51.341] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-02-2016 16:05:51.341] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-02-2016 16:05:51.341] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[04-02-2016 16:05:51.362] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[04-02-2016 16:05:51.371] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(125) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-02-2016 16:05:51.371] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(108) - Query to be executed: "show databases;"
[04-02-2016 16:05:51.372] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(140) - Attempting to disconnect from the database
[04-02-2016 16:05:51.372] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(142) - Disconnected from the database
[04-02-2016 16:10:22.696] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[04-02-2016 16:10:22.696] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(52) - Instantiating the credentials that will be used to connect to a mysql database
[04-02-2016 16:10:22.697] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-02-2016 16:10:22.697] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-02-2016 16:10:22.697] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(76) - Adding the connection properties to connect to a mysql database
[04-02-2016 16:10:22.713] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(88) - Attempting to connect to the database
[04-02-2016 16:10:23.087] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-02-2016 16:10:23.089] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(109) - Query to be executed: "show databases;"
[04-02-2016 16:10:23.092] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(157) - Attempting to disconnect from the database
[04-02-2016 16:10:23.094] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(159) - Disconnected from the database
[04-02-2016 16:10:23.096] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[04-02-2016 16:10:23.096] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(52) - Instantiating the credentials that will be used to connect to a mysql database
[04-02-2016 16:10:23.096] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-02-2016 16:10:23.096] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-02-2016 16:10:23.096] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(76) - Adding the connection properties to connect to a mysql database
[04-02-2016 16:10:23.129] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(88) - Attempting to connect to the database
[04-02-2016 16:10:23.141] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-02-2016 16:10:23.142] [main] WARN  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(162) - There is not an SQLPlusMySQLConnection
[04-02-2016 16:10:23.142] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(169) - Returning a SQLPlusMySQLConnection instance null
[04-02-2016 16:10:23.143] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(142) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost
[04-02-2016 16:10:23.143] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(52) - Instantiating the credentials that will be used to connect to a mysql database
[04-02-2016 16:10:23.143] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-02-2016 16:10:23.143] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-02-2016 16:10:23.143] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(76) - Adding the connection properties to connect to a mysql database
[04-02-2016 16:10:23.173] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(88) - Attempting to connect to the database
[04-02-2016 16:10:23.185] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(149) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-02-2016 16:10:23.186] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[04-02-2016 16:10:23.186] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(52) - Instantiating the credentials that will be used to connect to a mysql database
[04-02-2016 16:10:23.186] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-02-2016 16:10:23.186] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-02-2016 16:10:23.186] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(76) - Adding the connection properties to connect to a mysql database
[04-02-2016 16:10:23.216] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(88) - Attempting to connect to the database
[04-02-2016 16:10:23.225] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-02-2016 16:10:23.225] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(118) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost port:3306
[04-02-2016 16:10:23.225] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(52) - Instantiating the credentials that will be used to connect to a mysql database
[04-02-2016 16:10:23.226] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-02-2016 16:10:23.226] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-02-2016 16:10:23.226] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(76) - Adding the connection properties to connect to a mysql database
[04-02-2016 16:10:23.242] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(88) - Attempting to connect to the database
[04-02-2016 16:10:23.250] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(125) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-02-2016 16:10:23.251] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(109) - Query to be executed: "show databases;"
[04-02-2016 16:10:23.252] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(157) - Attempting to disconnect from the database
[04-02-2016 16:10:23.253] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(159) - Disconnected from the database
[04-02-2016 16:10:56.450] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[04-02-2016 16:10:56.451] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(52) - Instantiating the credentials that will be used to connect to a mysql database
[04-02-2016 16:10:56.451] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-02-2016 16:10:56.452] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-02-2016 16:10:56.452] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(76) - Adding the connection properties to connect to a mysql database
[04-02-2016 16:10:56.467] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(88) - Attempting to connect to the database
[04-02-2016 16:10:56.836] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-02-2016 16:10:56.837] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(109) - Query to be executed: "show databases;"
[04-02-2016 16:10:56.842] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(158) - Attempting to disconnect from the database
[04-02-2016 16:10:56.844] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(160) - Disconnected from the database
[04-02-2016 16:10:56.845] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[04-02-2016 16:10:56.847] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(52) - Instantiating the credentials that will be used to connect to a mysql database
[04-02-2016 16:10:56.847] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-02-2016 16:10:56.847] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-02-2016 16:10:56.847] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(76) - Adding the connection properties to connect to a mysql database
[04-02-2016 16:10:56.880] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(88) - Attempting to connect to the database
[04-02-2016 16:10:56.891] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-02-2016 16:10:56.892] [main] WARN  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(162) - There is not an SQLPlusMySQLConnection
[04-02-2016 16:10:56.892] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(169) - Returning a SQLPlusMySQLConnection instance null
[04-02-2016 16:10:56.893] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(142) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost
