[04-10-2016 11:35:06.851] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[04-10-2016 11:35:06.855] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(54) - Instantiating the credentials that will be used to connect to a mysql database
[04-10-2016 11:35:06.855] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-10-2016 11:35:06.855] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-10-2016 11:35:06.855] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(78) - Adding the connection properties to connect to a mysql database
[04-10-2016 11:35:06.871] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(90) - Attempting to connect to the database
[04-10-2016 11:35:07.262] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[04-10-2016 11:35:07.263] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(111) - Query to be executed: "show databases;"
[04-10-2016 11:35:07.286] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(132) - Executing QUERY statement
[04-10-2016 11:35:07.290] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(141) - Printing the labels of the columns in the result
[04-10-2016 11:35:07.291] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(196) - Attempting to disconnect from the database
[04-10-2016 11:35:07.293] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(198) - Disconnected from the database
[04-10-2016 11:35:07.295] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[04-10-2016 11:35:07.295] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(54) - Instantiating the credentials that will be used to connect to a mysql database
[04-10-2016 11:35:07.295] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[04-10-2016 11:35:07.295] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[04-10-2016 11:35:07.295] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(78) - Adding the connection properties to connect to a mysql database
[04-10-2016 11:35:07.328] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(90) - Attempting to connect to the database
